¤ë¥÷,§Ç¸¹,ªe¤t¦WºÙ,ºÊ´ú¯¸,¤ô·Å¼Æ­È¡]¢J¡^,®ð·Å¼Æ­È¡]¢J¡^,pH¼Æ­È,·»®ñ¶q¼Æ­È¡]mg/l¡^,¥Í¤Æ»Ý®ñ¶q¼Æ­È¡]mg/l¡^,®ò´á¼Æ­È¡]mg/l¡^,µv»ÄÆQ´á¼Æ­È¡]mg/l¡^,¨Èµv»ÄÆQ´á¼Æ­È¡]mg/l¡^,Äa¯B©TÅé¼Æ­È¡]mg/l¡^,¤Æ¾Ç»Ý®ñ¶q¼Æ­È¡]mg/l¡^,Âð¼Æ­È¡]ug/l¡^,»Ì¼Æ­È¡]ug/l¡^,»É¼Æ­È¡]ug/l¡^,¹]¼Æ­È¡]ug/l¡^,¾N¼Æ­È¡]ug/l¡^,ÅK¼Æ­È¡]ug/l¡^,¨E¼Æ­È¡]ug/l¡^,¯~¼Æ­È¡]ug/l¡^,¿ø¼Æ­È¡]ug/l¡^,»È¼Æ­È¡]ug/l¡^,Âì¼Æ­È¡]ug/l¡^,¾É¹q«×¼Æ­È¡]umho/cm¡^,Á`ÁC¼Æ­È¡]mg/l¡^,¿B«×¼Æ­È¡]NTU¡^,¤j¸z±ìµß¸s¼Æ­È¡]CFU/100 ml¡^,´âÆQ¼Æ­È¡]mg/l¡^,Á`´á¼Æ­È¡]mg/l¡^
7,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,28.8,31.5,8.3,9.3,1.3,ND<0.02,0.33,ND<0.01,6.2,6.1,ND<0.667,ND<0.657,1.47,ND<0.663,11.5,---,ND<0.200,---,75.4,ND<0.652,2.46,143,---,3.5,1.60E+03,11.3,---
7,10,Âù·Ë,«Cò¢·Ë,24.9,36,8.1,8.6,0.8,ND<0.02,1.52,ND<0.01,5.4,3.7,ND<0.667,ND<0.657,1.35,ND<0.663,6.63,---,ND<0.200,---,14.5,ND<0.652,ND<0.647,174,---,2.8,7.50E+03,12.8,---
7,11,Âù·Ë,´_¿³¾ô,27,33.5,7.6,9,2.3,ND<0.02,1.59,0.02,6.1,4.2,ND<0.667,ND<0.657,1.46,ND<0.663,9.07,---,ND<0.200,---,29.5,ND<0.652,ND<0.647,224,---,2.7,1.30E+04,15.7,---
7,12,ÁD·Ë,¶§©ú¤s,23,32.5,7.7,8.6,0.8,ND<0.02,0.63,ND<0.01,6.1,8.1,ND<0.667,ND<0.657,1.23,ND<0.663,11.5,---,ND<0.200,---,7.41,ND<0.652,ND<0.647,179,---,2.9,1.70E+04,11.2,---
7,13,ÁD·Ë,ÁD·Ë¾ô,29.3,37,3.4,7.6,0.7,0.2,0.89,ND<0.01,6.5,2.8,ND<0.667,2.25,2.7,1.59,33.5,---,ND<0.200,---,337,ND<0.652,1.45,752,---,3.8,20,76.8,---
7,14,¶Q¤l§|·Ë,·s¶Q¤l§|,29.2,34,8.5,7.9,1.3,ND<0.02,1.16,0.04,24.5,8.7,ND<0.667,ND<0.657,1.6,0.957,7.82,---,ND<0.200,---,25.4,ND<0.652,0.972,263,---,24,2.50E+03,16.2,---
7,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,29.3,34.5,7.5,4.8,1.3,0.16,0.91,0.16,3.1,9.4,ND<0.667,ND<0.657,2.34,ND<0.663,7.33,---,ND<0.200,---,125,ND<0.652,1.32,820,---,1.2,8.00E+02,85.8,---
7,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,31.5,39,2.4,6.2,1.6,3.26,0.63,ND<0.01,3.6,8,1.88,3.76,6.45,119,354,---,ND<0.200,366,1140,ND<0.652,3.1,2800,---,1.5,<10,270,---
8,1,·s©±·Ë,¥ÃºÖ¾ô,27,25,7.1,6.3,3.6,0.4,0.73,0.05,138,27.5,---,---,---,---,---,---,---,---,---,---,---,91,---,110,6.50E+05,5.1,---
8,2,´º¬ü·Ë,¸UºÖ¾ô,26.9,35,7.6,8.1,2.9,0.14,0.8,0.03,9.8,6,---,---,---,---,---,---,---,---,---,---,---,623,---,4.7,6.90E+04,6.2,---
8,3,´º¬ü·Ë,«í¥ú¾ô,27.2,34,7.5,8,3,0.1,0.88,0.03,14.9,7,---,---,---,---,---,---,---,---,---,---,---,1950,---,7.9,8.40E+04,5.9,---
8,4,´º¬ü·Ë,´º¬ü¾ô,27.2,33,7.3,7.1,2.7,0.25,0.93,0.03,22.2,8.7,---,---,---,---,---,---,---,---,---,---,---,134,---,20,7.70E+04,8.8,---
8,5,²H¤ôªe,»O¥_¾ô,27.2,28,6.8,4.4,3.8,1.18,0.6,0.03,176,35.6,---,---,---,---,---,---,---,---,---,---,---,134,---,140,5.00E+05,11.4,---
8,6,°ò¶©ªe,¦¨¥\¾ô,29.6,30.5,7.1,3.7,3,0.42,0.85,0.09,9.1,8.2,---,---,---,---,---,---,---,---,---,---,---,176,---,9.4,1.80E+04,4.6,---
8,7,°ò¶©ªe,¤jª½¾ô,30,30,6.9,2.4,3.3,0.73,1.46,0.11,15,10.3,---,---,---,---,---,---,---,---,---,---,---,215,---,14,1.70E+03,16.6,---
8,8,°ò¶©ªe,©Ó¼w¾ô,29.8,31,6.9,2.1,2.5,0.91,1.42,0.08,8.1,2.6,---,---,---,---,---,---,---,---,---,---,---,206,---,5.8,2.50E+05,16,---
8,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,26.3,29,7.5,7.7,1.3,ND<0.02,0.69,ND<0.01,8.4,5.2,---,---,---,---,---,---,---,---,---,---,---,113,---,11,2.30E+04,11.9,---
8,10,Âù·Ë,«Cò¢·Ë,24.6,33.5,7.8,8.3,0.7,ND<0.02,1.48,ND<0.01,8.9,4.8,---,---,---,---,---,---,---,---,---,---,---,155,---,8.2,2.80E+04,12.3,---
8,11,Âù·Ë,´_¿³¾ô,25.6,35,7.5,8.5,2.1,ND<0.02,1.46,ND<0.01,13.6,5.4,---,---,---,---,---,---,---,---,---,---,---,173,---,10,3.10E+04,12.6,---
8,12,ÁD·Ë,¶§©ú¤s,21.8,32,7.8,8.8,0.8,ND<0.02,0.66,ND<0.01,4.4,2.5,---,---,---,---,---,---,---,---,---,---,---,145,---,2.7,1.60E+04,10.8,---
8,13,ÁD·Ë,ÁD·Ë¾ô,28.6,39.5,3.7,7.5,1.3,0.22,1.07,ND<0.01,5.6,9.5,---,---,---,---,---,---,---,---,---,---,---,604,---,3.4,2.20E+02,64.8,---
8,14,¶Q¤l§|·Ë,·s¶Q¤l§|,28.4,35,8.6,8,1.3,ND<0.02,0.96,0.03,5.4,8.5,---,---,---,---,---,---,---,---,---,---,---,278,---,2.9,2.50E+04,16,---
8,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,27,26,7.6,7.5,2.2,0.1,0.56,ND<0.01,43,34.3,---,---,---,---,---,---,---,---,---,---,---,550,---,80,2.70E+05,77.3,---
8,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,29.2,33,2.5,7.2,0.8,2.21,0.9,0.06,3.6,6.9,---,---,---,---,---,---,---,---,---,---,---,1860,---,3.6,<10,174,---
9,1,·s©±·Ë,¥ÃºÖ¾ô,29.8,29,7.3,5.3,4.6,1.84,0.96,0.18,20.8,12.5,---,---,---,---,---,---,---,---,---,---,---,256,---,13,3.60E+04,22.2,---
9,2,´º¬ü·Ë,¸UºÖ¾ô,30.2,30,7.6,5.8,3,1.59,1.22,0.34,4.9,10.1,---,---,---,---,---,---,---,---,---,---,---,288,---,2.2,1.70E+04,20.2,---
9,3,´º¬ü·Ë,«í¥ú¾ô,30,29,7.6,7.2,1.7,0.43,1.78,0.24,5.1,11.8,---,---,---,---,---,---,---,---,---,---,---,290,---,3,1.30E+04,21.2,---
9,4,´º¬ü·Ë,´º¬ü¾ô,29.4,29,7.4,4.6,4.5,2.39,1.56,0.31,11.5,12.9,---,---,---,---,---,---,---,---,---,---,---,370,---,2.3,1.70E+05,32.2,---
9,5,²H¤ôªe,»O¥_¾ô,31.1,34,7.1,4,6.3,3.99,0.57,0.16,33.4,27.5,---,---,---,---,---,---,---,---,---,---,---,3620,---,12,2.70E+05,374,---
9,6,°ò¶©ªe,¦¨¥\¾ô,30.2,30,7.2,1.9,1.2,2.41,1.03,0.22,11.6,14.5,---,---,---,---,---,---,---,---,---,---,---,348,---,7.6,2.00E+04,31.7,---
9,7,°ò¶©ªe,¤jª½¾ô,30.4,30,7,3,2.7,2.84,2.84,0.19,23.1,16.6,---,---,---,---,---,---,---,---,---,---,---,361,---,20,4.00E+04,34.4,---
9,8,°ò¶©ªe,©Ó¼w¾ô,30,28.5,6.9,3.1,1.5,2.51,2.66,0.17,13.6,15.4,---,---,---,---,---,---,---,---,---,---,---,682,---,8.6,4.70E+04,85.8,---
9,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,27.7,30.5,8.6,10.9,1,ND<0.02,0.34,ND<0.01,6,7,---,---,---,---,---,---,---,---,---,---,---,142,---,3.7,3.80E+02,11.1,---
9,10,Âù·Ë,«Cò¢·Ë,24.3,32.5,8.1,8.4,1.2,0.14,1.89,ND<0.01,8.1,4,---,---,---,---,---,---,---,---,---,---,---,178,---,2.9,4.50E+03,12.1,---
9,11,Âù·Ë,´_¿³¾ô,25.8,33,7.6,9,0.5,ND<0.02,1.87,ND<0.01,6.6,3.3,---,---,---,---,---,---,---,---,---,---,---,224,---,2.9,8.00E+03,13.2,---
9,12,ÁD·Ë,¶§©ú¤s,22.5,29,7.6,8.6,0.4,ND<0.02,0.65,ND<0.01,17.2,9.4,---,---,---,---,---,---,---,---,---,---,---,177,---,10,4.50E+03,13.9,---
9,13,ÁD·Ë,ÁD·Ë¾ô,28.4,31,3.5,7.4,0.8,0.35,0.96,ND<0.01,2.9,4.4,---,---,---,---,---,---,---,---,---,---,---,747,---,3.6,1.90E+02,79.3,---
9,14,¶Q¤l§|·Ë,·s¶Q¤l§|,28.4,31,8.7,7.6,0.1,ND<0.02,1.21,0.05,9.5,8.8,---,---,---,---,---,---,---,---,---,---,---,268,---,8.5,2.30E+04,22.4,---
9,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,29.2,28,7.6,6.9,4.6,0.94,1.29,0.08,145,77.2,---,---,---,---,---,---,---,---,---,---,---,420,---,90,4.20E+05,41.2,---
9,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,30.5,31,2.4,6.4,0.7,3.42,0.71,ND<0.01,3.6,9.2,---,---,---,---,---,---,---,---,---,---,---,2660,---,1,<10,256,---
10,1,·s©±·Ë,¥ÃºÖ¾ô,29.6,32,7.2,3.5,3.9,1.94,1.16,0.22,18.2,11.9,ND<0.661,ND<0.639,1.81,0.749,5.67,---,ND<0.200,---,99,ND<0.624,1.31,328,---,1.6,2.10E+04,35.9,---
10,2,´º¬ü·Ë,¸UºÖ¾ô,31.6,35,7.5,5.9,3,1.95,1.4,0.42,3.7,9.2,ND<0.661,ND<0.639,1.57,ND<0.627,8.05,---,ND<0.200,---,66.1,ND<0.624,ND<0.636,303,---,0.55,1.50E+04,34.7,---
10,3,´º¬ü·Ë,«í¥ú¾ô,32,35,8.2,9.1,2.8,0.67,2.26,0.34,4.8,11.3,ND<0.661,ND<0.639,1.76,ND<0.627,7.03,---,ND<0.200,---,46.3,ND<0.624,ND<0.636,302,---,0.7,2.70E+03,30.7,---
10,4,´º¬ü·Ë,´º¬ü¾ô,30.4,33,8.1,5.4,3.9,2.34,1.76,0.3,5.5,13.4,ND<0.661,1.48,2.35,ND<0.627,11.5,---,ND<0.200,---,31.1,ND<0.624,2.04,374,---,0.95,3.50E+04,36.7,---
10,5,²H¤ôªe,»O¥_¾ô,29.5,33,7.3,2,4.5,4.1,0.6,0.36,45.1,22.1,ND<0.661,2.13,5.03,2.07,14.5,---,ND<0.200,---,111,ND<0.624,4.74,2320,---,4.7,4.80E+05,393,---
10,6,°ò¶©ªe,¦¨¥\¾ô,30.4,32,7.2,2.9,2.2,2.63,1.52,0.18,15.5,12.6,ND<0.661,ND<0.639,2.15,0.787,10.1,---,ND<0.200,---,64.1,ND<0.624,1.71,372,---,3.1,8.00E+03,36.7,---
10,7,°ò¶©ªe,¤jª½¾ô,30.3,32,7.1,3.9,2.4,2.49,3.25,0.17,67.5,20.8,ND<0.661,1.18,5.28,3.32,21.3,---,ND<0.200,---,86,ND<0.624,2.19,448,---,5.1,2.80E+04,41.2,---
10,8,°ò¶©ªe,©Ó¼w¾ô,30.1,32.5,6.9,3.6,2.5,2.71,2.7,0.16,34.4,14.6,ND<0.661,ND<0.639,2.52,1.07,10.1,---,ND<0.200,---,55.6,ND<0.624,1.71,809,---,4.8,2.80E+05,87.4,---
10,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,27.8,32,7.8,9.2,0.9,ND<0.02,0.32,ND<0.01,7.9,6.6,ND<0.661,ND<0.639,0.867,ND<0.627,3.51,---,ND<0.200,---,55.4,ND<0.624,ND<0.636,150,---,1.4,2.60E+03,11.2,---
10,10,Âù·Ë,«Cò¢·Ë,24.1,32,7.8,7.9,0.8,ND<0.02,1.98,ND<0.01,8.8,1.7,ND<0.661,0.764,1.59,ND<0.627,6.65,---,ND<0.200,---,21.9,ND<0.624,ND<0.636,179,---,1.6,3.20E+03,13.3,---
10,11,Âù·Ë,´_¿³¾ô,26.1,32.5,7.5,8.1,0.6,ND<0.02,1.85,ND<0.01,6.7,2.6,ND<0.661,ND<0.639,1.42,ND<0.627,5.35,---,ND<0.200,---,23.1,ND<0.624,ND<0.636,223,---,1.6,1.40E+04,28.7,---
10,12,ÁD·Ë,¶§©ú¤s,22.6,29,7.4,7.7,0.6,ND<0.02,0.67,ND<0.01,5.6,5.3,ND<0.661,ND<0.639,1.76,ND<0.627,3.84,---,ND<0.200,---,10.1,ND<0.624,ND<0.636,199,---,1,1.70E+03,15.9,---
10,13,ÁD·Ë,ÁD·Ë¾ô,28,35,2.8,6.7,0.7,0.65,0.99,ND<0.01,2.1,3.5,ND<0.661,2.48,3.69,1.99,46.5,---,ND<0.200,---,406,ND<0.624,1.75,843,---,0.55,<10,86.4,---
10,14,¶Q¤l§|·Ë,·s¶Q¤l§|,27.5,31,8.7,7.7,0.9,ND<0.02,1.35,0.04,6,8.1,ND<0.661,ND<0.639,1.4,ND<0.627,4.5,---,ND<0.200,---,30.5,ND<0.624,ND<0.636,270,---,3.5,1.20E+04,23.2,---
10,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,27.8,34,7.3,4.1,2.1,0.07,3.44,0.18,8.1,16.6,ND<0.661,ND<0.639,1.94,ND<0.627,5.21,---,ND<0.200,---,83.7,ND<0.624,1.34,367,---,0.5,8.00E+02,291,---
10,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,31,35,1.7,5.3,2.1,3.5,0.63,ND<0.01,5.1,12.1,2.1,3.21,7.16,136,455,---,ND<0.200,490,1250,ND<0.624,2.74,624,---,1.1,<10,293,---
11,1,·s©±·Ë,¥ÃºÖ¾ô,21.7,23,7.8,8.1,2.7,ND<0.02,0.48,0.03,45,4.5,---,---,---,---,---,---,---,---,---,---,---,85,---,9.8,9.00E+02,4.2,---
11,2,´º¬ü·Ë,¸UºÖ¾ô,23.4,28.5,7.8,8.3,2.4,0.09,0.59,ND<0.01,10.8,3.1,---,---,---,---,---,---,---,---,---,---,---,85,---,5.2,3.50E+03,6.4,---
11,3,´º¬ü·Ë,«í¥ú¾ô,23.7,28,7.8,7.3,2.7,ND<0.02,0.61,0.02,16.9,4,---,---,---,---,---,---,---,---,---,---,---,101,---,6.1,1.10E+04,6.6,---
11,4,´º¬ü·Ë,´º¬ü¾ô,23.5,25.5,7.7,7.8,2.9,ND<0.02,0.64,0.02,14.3,4.2,---,---,---,---,---,---,---,---,---,---,---,103,---,6.5,<10,6.9,---
11,5,²H¤ôªe,»O¥_¾ô,22.2,24,7.6,6.7,3.2,0.35,0.45,0.04,58.6,6.2,---,---,---,---,---,---,---,---,---,---,---,113,---,18,1.10E+04,9.3,---
11,6,°ò¶©ªe,¦¨¥\¾ô,23.6,22.5,7.6,4.8,2.6,0.58,1.07,0.11,8.1,7.3,---,---,---,---,---,---,---,---,---,---,---,212,---,0.75,1.20E+04,14.5,---
11,7,°ò¶©ªe,¤jª½¾ô,24,24.1,7.5,4.6,2.4,0.68,1.22,0.1,26,9.7,---,---,---,---,---,---,---,---,---,---,---,221,---,16,9.50E+03,15.2,---
11,8,°ò¶©ªe,©Ó¼w¾ô,24.2,24,7.5,4.4,2.8,0.81,1.45,0.09,8.1,7.9,---,---,---,---,---,---,---,---,---,---,---,220,---,1.5,1.10E+05,14.7,---
11,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,21.8,26,7.9,9.1,0.9,ND<0.02,0.6,ND<0.01,10.8,5.4,---,---,---,---,---,---,---,---,---,---,---,82,---,3.5,1.60E+05,7.8,---
11,10,Âù·Ë,«Cò¢·Ë,21.8,27,7.8,8.1,0.7,ND<0.02,0.82,ND<0.01,10.4,4.5,---,---,---,---,---,---,---,---,---,---,---,99,---,1.7,2.20E+05,7.5,---
11,11,Âù·Ë,´_¿³¾ô,22.4,27.5,7.7,8.2,0.9,ND<0.02,0.76,ND<0.01,8.8,4.3,---,---,---,---,---,---,---,---,---,---,---,96,---,3.9,1.20E+04,7.9,---
11,12,ÁD·Ë,¶§©ú¤s,19.6,21,7.4,8.8,0.7,ND<0.02,0.53,ND<0.01,17.4,4.5,---,---,---,---,---,---,---,---,---,---,---,120,---,2.6,4.00E+03,8,---
11,13,ÁD·Ë,ÁD·Ë¾ô,22.5,23,5.9,7.2,0.7,ND<0.02,0.8,ND<0.01,24.4,6.8,---,---,---,---,---,---,---,---,---,---,---,238,---,6.8,8.50E+02,18.7,---
11,14,¶Q¤l§|·Ë,·s¶Q¤l§|,24,24,8.9,7.5,1.1,ND<0.02,2.07,0.02,5.4,5.9,---,---,---,---,---,---,---,---,---,---,---,253,---,1.2,1.10E+04,18,---
11,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,23,22,8.3,8.5,2.5,0.32,0.52,0.06,7.9,11.1,---,---,---,---,---,---,---,---,---,---,---,856,---,4.6,1.20E+05,86.8,---
11,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,26.5,22.5,2.6,6.1,2.4,2.03,0.96,ND<0.01,9,10.2,---,---,---,---,---,---,---,---,---,---,---,1640,---,1.9,1.20E+04,163,---
12,1,·s©±·Ë,¥ÃºÖ¾ô,22.8,22.5,7.1,3.0,3.4,1.56,1.20,0.19,8.7,9.5,---,---,---,---,---,---,---,---,---,---,---,260,---,2.4,2.5E+3,13.4,---
12,2,´º¬ü·Ë,¸UºÖ¾ô,19.6,19.5,7.5,6.0,3.2,1.01,0.89,0.19,3.2,10.7,---,---,---,---,---,---,---,---,---,---,---,248,---,0.95,1.3E+5,21.8,---
12,3,´º¬ü·Ë,«í¥ú¾ô,18.5,19.0,7.7,9.0,3.0,1.63,1.56,0.33,3.2,6.6,---,---,---,---,---,---,---,---,---,---,---,272,---,1.4,5.5E+3,23.6,---
12,4,´º¬ü·Ë,´º¬ü¾ô,19.7,21.0,7.4,6.1,2.9,1.17,1.29,0.29,6.0,8.3,---,---,---,---,---,---,---,---,---,---,---,283,---,1.6,7.5E+3,21.1,---
12,5,²H¤ôªe,»O¥_¾ô,22.4,25.5,7.1,2.2,3.3,2.71,0.83,0.11,38.5,12.4,---,---,---,---,---,---,---,---,---,---,---,1240,---,1.8,4.6E+6,107,---
12,6,°ò¶©ªe,¦¨¥\¾ô,22.1,23.5,7.2,3.4,2.6,0.97,1.34,0.22,4.6,7.9,---,---,---,---,---,---,---,---,---,---,---,294,---,1.5,1.0E+4,27.6,---
12,7,°ò¶©ªe,¤jª½¾ô,22.3,22.5,7.0,2.8,2.5,1.81,2.08,0.18,13.4,10.7,---,---,---,---,---,---,---,---,---,---,---,322,---,1.9,1.0E+4,29.3,---
12,8,°ò¶©ªe,©Ó¼w¾ô,22.1,24.0,7.0,2.5,2.8,2.00,1.96,0.16,6.6,10.0,---,---,---,---,---,---,---,---,---,---,---,318,---,1.2,5.5E+4,34.0,---
12,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,16.2,18.0,8.0,10.8,0.8,ND<0.02,0.60,ND<0.01,2.8,2.2,---,---,---,---,---,---,---,---,---,---,---,109,---,1.2,3.0E+3,9.3,---
12,10,Âù·Ë,«Cò¢·Ë,16.8,18.5,8.0,10.2,0.7,ND<0.02,1.27,ND<0.01,5.0,2.1,---,---,---,---,---,---,---,---,---,---,---,179,---,1.4,3.3E+3,11.3,---
12,11,Âù·Ë,´_¿³¾ô,17.8,18.5,7.7,10.4,0.7,ND<0.02,1.45,ND<0.01,3.6,2.3,---,---,---,---,---,---,---,---,---,---,---,195,---,1.4,1.0E+4,12.2,---
12,12,ÁD·Ë,¶§©ú¤s,19.8,24.5,7.7,8.8,0.8,ND<0.02,0.50,ND<0.01,3.8,3.8,---,---,---,---,---,---,---,---,---,---,---,240,---,0.85,5.5E+3,12.7,---
12,13,ÁD·Ë,ÁD·Ë¾ô,22.8,25.0,5.0,7.9,1.2,0.09,0.91,ND<0.01,28.5,7.5,---,---,---,---,---,---,---,---,---,---,---,374,---,0.95,2.5E+2,32.3,---
12,14,¶Q¤l§|·Ë,·s¶Q¤l§|,21.3,22.5,8.2,8.8,0.7,0.16,2.30,0.06,23.5,13.3,---,---,---,---,---,---,---,---,---,---,---,226,---,5.1,1.4E+5,13.7,---
12,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,22.3,21.0,8.0,7.7,2.3,0.15,1.84,0.20,1.9,8.9,---,---,---,---,---,---,---,---,---,---,---,1490,---,0.75,3.0E+3,174,---
12,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,25.4,24.0,2.5,7.0,1.3,0.18,1.10,ND<0.01,3.9,2.6,---,---,---,---,---,---,---,---,---,---,---,320,---,1.0,5.5E+4,24.6,---
